,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
31,0.01,0.0032,1.0,500,0.5333333611488342,7.331732749938965
32,0.01,0.0032,1.0,2500,0.9333333373069763,20.991917371749878
33,0.01,0.0032,10.0,100,0.2666666805744171,5.534738540649414
34,0.01,0.0032,10.0,500,0.5333333611488342,7.725226640701294
35,0.01,0.0032,10.0,2500,0.2666666805744171,19.742966175079346
36,0.01,0.0128,0.01,100,0.5333333611488342,5.775780200958252
37,0.01,0.0128,0.01,500,0.9666666388511658,7.767797231674194
38,0.01,0.0128,0.01,2500,0.9666666388511658,19.892181873321533
39,0.01,0.0128,0.1,100,0.9666666388511658,5.414461374282837
40,0.01,0.0128,0.1,500,0.9666666388511658,8.529362678527832
41,0.01,0.0128,0.1,2500,0.9333333373069763,17.499991416931152
42,0.01,0.0128,1.0,100,0.5333333611488342,6.760880470275879
43,0.01,0.0128,1.0,500,0.9666666388511658,7.72205662727356
44,0.01,0.0128,1.0,2500,0.9666666388511658,18.701798677444458
45,0.01,0.0128,10.0,100,0.7333333492279053,5.6444854736328125
46,0.01,0.0128,10.0,500,0.5333333611488342,8.493802309036255
47,0.01,0.0128,10.0,2500,0.5333333611488342,21.057952642440796
48,0.01,0.0512,0.01,100,0.9333333373069763,5.577742576599121
49,0.01,0.0512,0.01,500,0.9666666388511658,9.045332193374634
50,0.01,0.0512,0.01,2500,0.9666666388511658,19.437482357025146
51,0.01,0.0512,0.1,100,0.9666666388511658,5.644805431365967
52,0.01,0.0512,0.1,500,0.9666666388511658,8.500167846679688
53,0.01,0.0512,0.1,2500,0.9333333373069763,20.11855912208557
54,0.01,0.0512,1.0,100,0.9666666388511658,5.467599868774414
55,0.01,0.0512,1.0,500,0.9333333373069763,7.787771940231323
56,0.01,0.0512,1.0,2500,0.9666666388511658,21.979809761047363
57,0.01,0.0512,10.0,100,0.5333333611488342,5.685405015945435
58,0.01,0.0512,10.0,500,0.2666666805744171,8.154974937438965
59,0.01,0.0512,10.0,2500,0.2666666805744171,21.118718147277832
60,0.01,0.2048,0.01,100,0.5666666626930237,5.5483434200286865
61,0.01,0.2048,0.01,500,0.9333333373069763,8.516935586929321
62,0.01,0.2048,0.01,2500,0.9666666388511658,22.578598737716675
63,0.01,0.2048,0.1,100,0.5333333611488342,5.589879751205444
64,0.01,0.2048,0.1,500,0.9666666388511658,7.912609338760376
