,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
187,0.1,0.0128,1.0,500,0.9666666388511658,7.61953330039978
188,0.1,0.0128,1.0,2500,0.9666666388511658,16.760424613952637
189,0.1,0.0128,10.0,100,0.5333333611488342,6.421920537948608
190,0.1,0.0128,10.0,500,0.5333333611488342,8.424705505371094
191,0.1,0.0128,10.0,2500,0.2666666805744171,18.1758074760437
192,0.1,0.0512,0.01,100,0.9666666388511658,6.870776176452637
193,0.1,0.0512,0.01,500,0.9666666388511658,10.044748544692993
194,0.1,0.0512,0.01,2500,0.9666666388511658,19.586164712905884
195,0.1,0.0512,0.1,100,0.9666666388511658,6.731278896331787
196,0.1,0.0512,0.1,500,0.9333333373069763,8.324305534362793
197,0.1,0.0512,0.1,2500,0.9666666388511658,17.830629110336304
198,0.1,0.0512,1.0,100,0.8666666746139526,7.967421531677246
199,0.1,0.0512,1.0,500,0.9666666388511658,8.710179805755615
200,0.1,0.0512,1.0,2500,0.9666666388511658,18.019431352615356
201,0.1,0.0512,10.0,100,0.5333333611488342,6.166004419326782
202,0.1,0.0512,10.0,500,0.5333333611488342,8.358293771743774
203,0.1,0.0512,10.0,2500,0.2666666805744171,17.473485708236694
204,0.1,0.2048,0.01,100,0.8333333134651184,6.355942249298096
205,0.1,0.2048,0.01,500,0.9666666388511658,8.006408452987671
206,0.1,0.2048,0.01,2500,0.9666666388511658,17.393928050994873
207,0.1,0.2048,0.1,100,0.9666666388511658,5.771862030029297
208,0.1,0.2048,0.1,500,0.9666666388511658,7.828157424926758
209,0.1,0.2048,0.1,2500,0.9666666388511658,16.54673147201538
210,0.1,0.2048,1.0,100,0.6333333253860474,5.932079553604126
211,0.1,0.2048,1.0,500,0.9666666388511658,7.965024709701538
212,0.1,0.2048,1.0,2500,0.9666666388511658,17.515113592147827
213,0.1,0.2048,10.0,100,0.2666666805744171,5.823113203048706
214,0.1,0.2048,10.0,500,0.2666666805744171,7.788479566574097
215,0.1,0.2048,10.0,2500,0.2666666805744171,16.988677501678467
216,0.25,0.0002,0.01,100,0.46666666865348816,5.890307188034058
217,0.25,0.0002,0.01,500,0.46666666865348816,7.507570028305054
218,0.25,0.0002,0.01,2500,0.2666666805744171,16.247740745544434
219,0.25,0.0002,0.1,100,0.0,5.679161548614502
220,0.25,0.0002,0.1,500,0.7333333492279053,8.49466848373413
221,0.25,0.0002,0.1,2500,0.2666666805744171,17.309751272201538
222,0.25,0.0002,1.0,100,0.2666666805744171,5.7371416091918945
223,0.25,0.0002,1.0,500,0.6333333253860474,7.518567323684692
224,0.25,0.0002,1.0,2500,0.2666666805744171,15.983825445175171
225,0.25,0.0002,10.0,100,0.2666666805744171,5.63317608833313
226,0.25,0.0002,10.0,500,0.5333333611488342,8.587143182754517
227,0.25,0.0002,10.0,2500,0.46666666865348816,17.833873510360718
228,0.25,0.0008,0.01,100,0.5333333611488342,7.421091079711914
229,0.25,0.0008,0.01,500,0.46666666865348816,8.801151037216187
230,0.25,0.0008,0.01,2500,0.03333333507180214,16.40469002723694
231,0.25,0.0008,0.1,100,0.6000000238418579,5.697165489196777
232,0.25,0.0008,0.1,500,0.10000000149011612,7.365607261657715
233,0.25,0.0008,0.1,2500,0.5666666626930237,16.52441120147705
234,0.25,0.0008,1.0,100,0.2666666805744171,5.652110576629639
235,0.25,0.0008,1.0,500,0.10000000149011612,7.407416582107544
236,0.25,0.0008,1.0,2500,0.5333333611488342,16.127779245376587
237,0.25,0.0008,10.0,100,0.2666666805744171,5.752138137817383
238,0.25,0.0008,10.0,500,0.699999988079071,7.806253433227539
239,0.25,0.0008,10.0,2500,0.5,17.157570600509644
240,0.25,0.0032,0.01,100,0.7333333492279053,6.755857706069946
241,0.25,0.0032,0.01,500,0.46666666865348816,8.544234991073608
242,0.25,0.0032,0.01,2500,0.8333333134651184,17.608964443206787
243,0.25,0.0032,0.1,100,0.30000001192092896,7.735004425048828
244,0.25,0.0032,0.1,500,0.5333333611488342,7.994919538497925
245,0.25,0.0032,0.1,2500,0.8666666746139526,17.357439517974854
246,0.25,0.0032,1.0,100,0.9333333373069763,6.626120328903198
247,0.25,0.0032,1.0,500,0.5333333611488342,8.677883625030518
248,0.25,0.0032,1.0,2500,0.8666666746139526,20.45909547805786
249,0.25,0.0032,10.0,100,0.46666666865348816,6.302481174468994
