,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
79,0.05,0.0002,1.0,500,0.2666666805744171,17.317289352416992
80,0.05,0.0002,1.0,2500,0.46666666865348816,5.497217416763306
81,0.05,0.0002,10.0,100,0.2666666805744171,7.738661766052246
82,0.05,0.0002,10.0,500,0.2666666805744171,17.645273685455322
83,0.05,0.0002,10.0,2500,0.46666666865348816,5.824108362197876
84,0.05,0.0008,0.01,100,0.2666666805744171,7.589536905288696
85,0.05,0.0008,0.01,500,0.2666666805744171,16.75756072998047
86,0.05,0.0008,0.01,2500,0.2666666805744171,5.784123182296753
87,0.05,0.0008,0.1,100,0.46666666865348816,7.775475740432739
88,0.05,0.0008,0.1,500,0.2666666805744171,16.80454683303833
89,0.05,0.0008,0.1,2500,0.46666666865348816,5.577190160751343
90,0.05,0.0008,1.0,100,0.2666666805744171,7.767152786254883
91,0.05,0.0008,1.0,500,0.2666666805744171,16.306398630142212
92,0.05,0.0008,1.0,2500,0.2666666805744171,5.780124187469482
93,0.05,0.0008,10.0,100,0.2666666805744171,7.460577964782715
94,0.05,0.0008,10.0,500,0.2666666805744171,16.483527898788452
95,0.05,0.0008,10.0,2500,0.2666666805744171,5.836110591888428
96,0.05,0.0032,0.01,100,0.2666666805744171,8.688180923461914
97,0.05,0.0032,0.01,500,0.2666666805744171,16.755560874938965
98,0.05,0.0032,0.01,2500,0.2666666805744171,5.553199291229248
99,0.05,0.0032,0.1,100,0.2666666805744171,7.753494024276733
100,0.05,0.0032,0.1,500,0.5333333611488342,16.86451530456543
101,0.05,0.0032,0.1,2500,0.46666666865348816,5.9200780391693115
102,0.05,0.0032,1.0,100,0.2666666805744171,7.648101806640625
103,0.05,0.0032,1.0,500,0.5333333611488342,17.46458888053894
104,0.05,0.0032,1.0,2500,0.2666666805744171,6.014045715332031
105,0.05,0.0032,10.0,100,0.46666666865348816,7.511561870574951
106,0.05,0.0032,10.0,500,0.2666666805744171,17.625245332717896
107,0.05,0.0032,10.0,2500,0.2666666805744171,7.267035484313965
108,0.05,0.0128,0.01,100,0.2666666805744171,7.3406171798706055
109,0.05,0.0128,0.01,500,0.2666666805744171,16.271703958511353
110,0.05,0.0128,0.01,2500,0.5333333611488342,5.357261419296265
111,0.05,0.0128,0.1,100,0.5333333611488342,7.653515100479126
112,0.05,0.0128,0.1,500,0.9666666388511658,16.341540336608887
113,0.05,0.0128,0.1,2500,0.2666666805744171,5.428340435028076
114,0.05,0.0128,1.0,100,0.5333333611488342,7.5389792919158936
115,0.05,0.0128,1.0,500,0.8666666746139526,16.504103899002075
116,0.05,0.0128,1.0,2500,0.2666666805744171,5.80133843421936
117,0.05,0.0128,10.0,100,0.2666666805744171,7.577970266342163
118,0.05,0.0128,10.0,500,0.2666666805744171,16.222752332687378
119,0.05,0.0128,10.0,2500,0.46666666865348816,5.5701751708984375
120,0.05,0.0512,0.01,100,0.2666666805744171,7.501564264297485
121,0.05,0.0512,0.01,500,0.2666666805744171,15.986407279968262
122,0.05,0.0512,0.01,2500,0.5333333611488342,5.476206541061401
