,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
32,0.01,0.0032,1.0,2500,0.5333333611488342,5.538089990615845
33,0.01,0.0032,10.0,100,0.2666666805744171,22.893272876739502
34,0.01,0.0032,10.0,500,0.5333333611488342,9.136788606643677
35,0.01,0.0032,10.0,2500,0.5333333611488342,6.057773113250732
36,0.01,0.0128,0.01,100,0.2666666805744171,23.708658933639526
37,0.01,0.0128,0.01,500,0.2666666805744171,9.123499870300293
38,0.01,0.0128,0.01,2500,0.2666666805744171,5.77597713470459
39,0.01,0.0128,0.1,100,0.5333333611488342,23.005188703536987
40,0.01,0.0128,0.1,500,0.2666666805744171,9.169142007827759
41,0.01,0.0128,0.1,2500,0.5333333611488342,5.642176628112793
42,0.01,0.0128,1.0,100,0.5333333611488342,21.518069744110107
43,0.01,0.0128,1.0,500,0.2666666805744171,9.086420059204102
44,0.01,0.0128,1.0,2500,0.5333333611488342,5.896193265914917
45,0.01,0.0128,10.0,100,0.5333333611488342,21.94989776611328
46,0.01,0.0128,10.0,500,0.2666666805744171,8.989282369613647
47,0.01,0.0128,10.0,2500,0.5333333611488342,5.7234086990356445
48,0.01,0.0512,0.01,100,0.2666666805744171,24.391499280929565
49,0.01,0.0512,0.01,500,0.2666666805744171,9.163244247436523
50,0.01,0.0512,0.01,2500,0.46666666865348816,5.631288051605225
51,0.01,0.0512,0.1,100,0.2666666805744171,24.77163600921631
52,0.01,0.0512,0.1,500,0.4333333373069763,8.897671222686768
53,0.01,0.0512,0.1,2500,0.2666666805744171,6.014333248138428
54,0.01,0.0512,1.0,100,0.36666667461395264,23.61099123954773
55,0.01,0.0512,1.0,500,0.5333333611488342,9.030001878738403
56,0.01,0.0512,1.0,2500,0.46666666865348816,5.775451421737671
57,0.01,0.0512,10.0,100,0.4333333373069763,25.58481764793396
58,0.01,0.0512,10.0,500,0.2666666805744171,8.881947040557861
59,0.01,0.0512,10.0,2500,0.2666666805744171,5.768905878067017
60,0.01,0.2048,0.01,100,0.46666666865348816,23.547959327697754
61,0.01,0.2048,0.01,500,0.0,8.98025131225586
62,0.01,0.2048,0.01,2500,0.2666666805744171,5.704057693481445
63,0.01,0.2048,0.1,100,0.46666666865348816,24.46840786933899
64,0.01,0.2048,0.1,500,0.2666666805744171,7.232191801071167
65,0.01,0.2048,0.1,2500,0.2666666805744171,5.834752321243286
66,0.01,0.2048,1.0,100,0.46666666865348816,23.35151481628418
67,0.01,0.2048,1.0,500,0.23333333432674408,8.426880598068237
68,0.01,0.2048,1.0,2500,0.2666666805744171,5.833026170730591
69,0.01,0.2048,10.0,100,0.46666666865348816,19.681673526763916
